agent,userType,policy_mode,producer,policy_number,premium_amount_written,premium_amount,policy_type,company_name,category_name,policy_start_date,policy_end_date,csr,account_name,email,gender,firstname,city,account_type,phone,address,state,zip,dob
Alex Watson,Active Client,12,Brandie Placencia,YEEX9MOIBU7X,,1180.83,Single,Integon Gen Ins Corp,Commercial Auto,02-11-2018,02-11-2019,Tami Ellison,Lura Lucca & Owen Dodson,madler@yahoo.ca,,Lura Lucca,MOCKSVILLE,Commercial,8677356559,170 MATTHIAS CT,NC,27028,11-02-1960
Alex Watson,Active Client,12,Sol Birney,7CZ3CLKWMSKH,,2105.9,Single,Integon Ind Corp,Commercial Auto,09-11-2018,09-11-2019,Molly Eaton,Torie Buchanan & Glenda Ruiz,mbalazin@mac.com,,Torie Buchanan,WINSTON SALEM,Commercial,6094964988,910 DELMONTE DR,NC,27106,17-10-1946
Alex Watson,Active Client,12,Yee Ribble,ZSB972578CRV,,2105.9,Single,Integon Ind Corp,Commercial Auto,09-11-2018,09-11-2019,Gordon Carey,Sebastian Scarberry & Jonah Bishop,maikelnai@msn.com,,Sebastian Scarberry,WINSTON SALEM,Commercial,6888541383,910 DELMONTE DR,NC,27106,20-08-1958
Alex Watson,Active Client,6,Carmella Landers,JRWJV5U5XWE4,,1323.63,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,31-12-2018,30-06-2019,Cliff Alvarez,Vergie Hardesty & Wilma Wong,killmenow@me.com,,Vergie Hardesty,Winston Salem,Commercial,4183346713,301 N Main St Ste 2100,NC,27101-3843,20-08-1958
Alex Watson,Active Client,6,Jared Roan,AUU730H3S5JU,,1323.63,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,31-12-2018,30-06-2019,Jan Hensley,Omar Rossbach & Laurie Ortega,bhtower@hotmail.com,,Omar Rossbach,Winston Salem,Commercial,7645408831,301 N Main St Ste 2100,NC,27101-3843,20-11-1949
John Snow,Active Client,6,Carlos Ericsson,VI62YYK23K0V,,1063.88,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,02-11-2018,02-05-2019,Junior Kane,Linda Ryan & Lane Hunt,thowell@sbcglobal.net,Male,Linda Ryan,Winston Salem,Personal,3259402847,805 Woodcrest Dr,NC,27104-1425,15-11-1993
John Snow,Active Client,6,Hoyt Pressler,2P7MVDCM3QQ1,,700.08,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,24-10-2018,24-04-2019,Jerry Vega,Kim Brown & Goldie Noble,eidac@comcast.net,Male,Kim Brown,Winston Salem,Personal,6177700412,7663 Friendship Ledford Rd,NC,27107-9177,15-11-1993
John Snow,Active Client,6,Alayna Meekins,9PQ3KF6KRKYZ,,1261.59,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,30-10-2018,30-04-2019,Tami Ellison,Tamara Carswell & Isaiah Short,amichalo@live.com,,Tamara Carswell,Winston Salem,Personal,8952413952,2708 Peachtree St,NC,27107-4213,19-06-1971
John Snow,Active Client,6,Cindi Paschall,H6Z1WMONRALJ,,932.54,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,02-11-2018,02-05-2019,Molly Eaton,Claudius Dockery & Mervin Holden,geekoid@hotmail.com,Female,Claudius Dockery,Clemmons,Personal,9943829435,4700 Cooper Rd,NC,27012-8215,19-06-1971
John Snow,Active Client,6,Tennille Brinkerhoff,2QYTNFMETG2K,,576.94,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,09-11-2018,09-05-2019,Gordon Carey,Traci King & Ron Mccoy,ebassi@yahoo.com,Female,Traci King,Winston Salem,Personal,5705532539,236 Ridgeview Dr,NC,27107-9354,19-06-1971
John Snow,Active Client,6,Tennille Brinkerhoff,2QYTNFMETG2K,,576.94,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,09-11-2018,09-05-2019,Gordon Carey,Traci King & Ron Mccoy,ebassi@yahoo.com,Female,Lura Lucca,Winston Salem,Personal,5705532539,236 Ridgeview Dr,NC,27107-9354,19-06-1971
,,,,,,,,,,,,,,,,,,,,,,,
